team,elo_rating,matches_played
France,1368.8,39
Argentina,1343.2,47
Netherlands,1341.6,36
England,1335.8,40
Brazil,1333.9,49
Congo DR,1330.0,0
Croatia,1319.6,27
Portugal,1318.9,26
Belgium,1318.1,30
Turkiye,1317.3,6
Colombia,1316.1,16
Romania,1315.0,13
Ireland,1312.8,13
Sweden,1312.1,23
Spain,1311.6,36
Russia,1311.5,17
Ukraine,1311.1,5
Yugoslavia,1310.7,1
Turkey,1310.6,1
Uruguay,1310.0,26
Germany,1309.7,51
Japan,1307.6,22
Uzbekistan,1306.0,0
Morocco,1305.6,16
Ecuador,1302.8,13
Norway,1301.6,7
New Zealand,1301.0,3
Paraguay,1300.9,16
Cote d'Ivoire,1299.7,6
Cameroon,1299.7,20
Chile,1299.0,9
United States,1297.7,29
Senegal,1296.5,12
Tunisia,1296.3,15
Slovenia,1295.0,6
South Africa,1294.9,9
Greece,1294.9,7
Italy,1294.5,36
Peru,1294.2,3
Bosnia & Herzegovina,1293.8,3
Mexico,1292.9,28
Switzerland,1292.4,23
USA,1290.8,1
Angola,1290.2,3
Australia,1289.5,14
Austria,1289.4,6
Slovakia,1289.1,4
Czechia,1288.7,8
Algeria,1287.7,7
Ghana,1285.3,15
Nigeria,1284.1,21
Poland,1283.7,13
Denmark,1283.7,19
IR Iran,1283.6,15
South Korea,1282.6,33
Jamaica,1281.0,3
Saudi Arabia,1280.2,19
Bolivia,1278.1,3
Iceland,1278.0,3
Costa Rica,1275.8,21
Trinidad & Tobago,1274.4,3
Scotland,1274.1,6
Serbia,1273.0,20
Bulgaria,1273.0,10
Wales,1272.6,3
Egypt,1267.7,6
Canada,1267.4,3
Togo,1265.3,3
Qatar,1262.7,3
North Korea,1259.6,3
Panama,1259.1,3
China,1257.3,3
United Arab Emirates,1257.0,3
Honduras,1253.6,6
Haiti,1234.0,0
Cabo Verde,1216.0,0
Iraq,1156.0,0
Jordan,1078.0,0
Curacao,1060.0,0
